6.51,3.815
7.035,1.715
0.91,7.28
5.075,4.9
2.73,0.91
2.905,4.06
6.405,4.725
2.065,3.99
6.72,1.785
6.125,7.28
0.525,7.175
7,1.085
2.38,6.93
2.485,3.36
6.02,2.345
6.93,2.485
1.225,4.795
1.995,1.61
1.05,4.41
6.125,4.48
4.305,4.34
6.335,1.68
5.215,2.03
3.64,6.3
1.75,3.01
3.57,3.675
2.94,4.375
1.715,3.36
1.085,0.98
1.89,3.185
5.11,3.745
3.36,0.84
6.335,7.315
0.595,4.305
1.19,1.365
7.175,1.89
6.37,1.365
1.435,4.795
3.71,1.82
5.215,5.285
3.5,4.585
6.615,1.225
7.28,3.71
7,1.225
3.045,3.5
0.84,3.675
2.065,6.895
3.535,1.925
0.84,4.48
2.87,2.03
7.385,0.98
1.54,2.73
4.095,3.43
5.285,4.165
5.355,1.435
3.71,1.47
6.58,1.505
5.565,5.95
5.46,5.46
6.37,4.935
6.895,6.58
3.01,6.58
3.185,4.865
6.65,0.875
1.19,7
6.755,2.8
1.05,3.08
6.79,3.22
1.295,1.785
3.78,2.205
5.215,1.925
0.875,1.295
3.64,5.635
4.865,2.59
2.135,3.57
2.905,0.56
5.46,1.82
4.235,5.495
0.98,7.07
3.15,7.28
6.405,3.78
4.13,5.53
4.095,1.785
1.575,1.61
1.855,5.635
0.7,1.12
6.545,4.76
1.365,2.975
1.54,2.94
1.715,2.17
6.23,2.485
5.95,3.815
3.675,4.935
6.79,7.385
3.78,6.055
2.31,7.035
3.5,3.29
1.715,4.725
5.775,2.345
1.47,4.235
6.685,2.905
0.77,4.725
3.605,1.785
1.015,2.415
3.255,1.715
3.85,1.085
2.45,6.65
2.66,0.455
7.35,1.715
7.315,5.495
0.77,0.84
5.915,3.465
5.18,5.6
1.435,6.405
0.455,1.855
5.04,5.39
2.03,1.295
1.785,5.355
1.995,1.19
5.705,0.77
0.945,6.405
1.89,1.015
4.41,6.965
2.45,4.41
7.245,0.84
2.66,3.57
7.105,2.1
1.75,3.395
4.2,2.765
2.345,5.32
1.995,5.25
1.365,5.425
3.675,1.19
4.725,5.32
1.365,2.24
5.985,6.405
2.52,5.285
3.36,2.8
5.495,2.975
4.06,2.555
3.535,2.905
3.465,6.23
6.755,6.02
6.93,1.155
6.685,1.225
2.975,7.385
1.575,4.76
7.035,4.69
1.855,1.47
2.87,6.16
5.705,2.905
5.775,2.73
1.505,6.23
3.92,2.135
1.33,2.66
2.45,6.265
4.095,2.835
6.755,5.145
6.545,2.1
4.41,1.19
0.595,1.19
0.7,6.44
6.65,5.355
